Elapsed time,로그인,메뉴레프트,메뉴이동,메뉴인덱스,메뉴헤더,메인페이지,상세조회,초기화면,컨텐츠
28:00.5,,,,,,,,84,
28:01.0,390,,,61,,88,,,
28:01.5,,66,68,,97,,92,,79
28:02.0,,,,,,,,71,
28:02.5,571,,,123,76,90,,,
28:03.0,,108,82,,,,65,73,75
28:03.5,359,,,73,76,100,,,
28:04.0,,74,151,,,,118,,158
28:04.5,,,,,,,,183,
28:05.0,405,123,,60,56,55,,,
28:05.5,,,80,,,,73,83,186
28:06.0,360,,,108,84,65,,,
28:06.5,,125,143,,,,169,90,49
28:07.5,607,87,,157,58,94,,,
28:08.0,,,110,,,,98,114,73
28:08.5,568,,,,,,,,
28:09.0,,,,75,75,131,,,
28:09.5,,303,82,,,,84,117,74
28:10.0,614,,,,,,,,
28:10.5,,93,,85,192,126,,86,
28:11.0,581,,142,,,,131,101,125
28:11.5,505.5,73,,166,108,142,,117,
28:12.0,546,161.5,87,115,86,162.5,75,173,177
28:12.5,,,146,151,270,105,229.5,111,102
28:13.0,750,72,211,161,,147,,140,95
28:13.5,595.75,141.5,,169.3333333,134,192.25,179,128.5,138
28:14.0,,313.6666667,271,138,170.3333333,99,307,145,106
28:14.5,691,,228.3333333,,371,269.5,162,342,166
28:15.0,669,443,196,360.5,217.5,124,309.3333333,192,121
28:15.5,508.6666667,187.5,,158.6666667,194,267.6666667,259,98,272.5
28:16.0,743,309.3333333,328.5,241.5,192,284.5,360,,299
28:16.5,,312.5,125,231,528,413.6666667,308,237.5,235
28:17.0,600,157,302.5,495,421.5,,275,,244
28:17.5,,303,,,701,579,631.5,521.3333333,460.5
28:18.0,512.5,258.5,257.5,194.5,183.5,756,284,339.6666667,322
28:18.5,1143,331,339.5,,,483.5,476,,334.6666667
28:19.0,986,117,446,546,114.5,580,411,339.5,
28:19.5,1375,,,225.5,303,287,431.5,304,521
28:20.0,834.3333333,452.5,168,475,198,737,,641,
28:20.5,964,302,211,336.5,111,425,412,133.5,392.3333333
28:21.0,717,334.5,374,620,381,374,382.5,163,253
28:21.5,916.5,234.5,117,319.5,256,232,488.5,366,301.6666667
28:22.0,503,,327.5,310,,,313.5,418,224
28:22.5,1228,425,435,,426.6666667,951,,556.6666667,150
28:23.0,1188,580.5,456,157,,691,579.3333333,560,328
28:23.5,1271.25,331,487,459,175.5,465,317,536.6666667,
28:24.0,1289.75,657,677,,486,492.8,232,629.6666667,498
28:24.5,1150,428,173,445.5,,350,,630.6666667,300
28:25.0,1074,,467,686.6666667,220,660,734,,
28:25.5,1627,358,,599.5,636,1001,,720.6666667,560.5
28:26.0,1376.5,481.5,381,411,576,578.25,884,,357.5
28:26.5,1118,320,242,212,516.6666667,,310.5,415,327
28:27.0,,439,506.5,799.5,407,498.3333333,832.5,,739
28:27.5,,422.6666667,,276,656,936.5,433,935,559.3333333
28:28.0,1604,,706.8,1108,,,,654.3333333,698
28:28.5,1305,1252,751.5,1093.5,688.5,,552,1297,1048
28:29.0,1531.333333,,,,657,911,968.75,478,
28:29.5,1110,1119,973,,1229,671,1063,,770
28:30.0,1270,1160.5,,1129,,747.6666667,2378,1039.5,
28:30.5,,720,1163,1193,,1305,933,1047.75,769
28:31.0,1282,,,796.2,974,,,524,909.5
28:31.5,1953.5,455.5,726.25,,609.4,324,790,605,1023
28:32.0,1442.666667,,608,,911,917,693.5,1188,412
28:32.5,1376,948.8,,713.5,,717,530,744.5,779
28:33.0,,,1082,,750,922,,766.25,577
28:33.5,1083.666667,,817,952,932,1118.333333,,1382,917.6666667
28:34.0,1098,887,466,1049.333333,612,,695,1250,1192
28:34.5,1504,724,,1027.333333,,872.5,1030.5,820,
28:35.0,2275,1177,,1782,,,,,
28:35.5,2216,,1918.5,,1199,1747.5,1804,1313.5,1176
28:36.0,2412,,1401.5,1226.666667,1636.2,1614,550,1178.5,1638
28:36.5,905,1088,,761,1023,1383,,1460,1368
28:37.0,2161,936,,1212.5,795.6666667,973,1085,896,611
28:37.5,1069,1288,1290,502,452,440,1391,589,554
28:38.0,1766,1113.666667,1353,1551,,1079,,,969
28:38.5,,,1556,1298,1322,813,780,,939
28:39.0,2098,1551,1066,1003,1268,1731,1129.5,1553,1629
28:39.5,,939,965.3333333,1105,1096.333333,702,593,563,1078.333333
28:40.0,2335,,462.6666667,,,,,901,
28:40.5,,1285.666667,,1644,1255,,1038.75,1573,
28:41.0,,1085.25,,1391,,1042,1402,505,760
28:41.5,2146.666667,472,543.6666667,470,629.6666667,,1305,795.25,469
28:42.0,1381,,,,,375,803,888,1232
28:42.5,,723,744,427,1251,715.5,974.5,750.5,920.5
28:43.0,1423.5,542,,,,874,,790.5,533
28:43.5,2045,,1037.666667,1073.5,692,621,829.6666667,,
