Elapsed time,jp@gc - Response Times Over Time > 로그인,jp@gc - Response Times Over Time > 메뉴인덱스,jp@gc - Transactions per Second > 로그인 (success)
11:28:01.0,390.0,61.0,1.0
11:28:02.0,,,1.0
11:28:02.500,571.0,123.0,
11:28:03.0,,,1.0
11:28:03.500,359.0,73.0,
11:28:05.0,405.0,60.0,1.0
11:28:06.0,360.0,108.0,1.0
11:28:07.0,,,1.0
11:28:07.500,607.0,157.0,
11:28:08.0,,,1.0
11:28:08.500,568.0,,
11:28:09.0,,75.0,
11:28:10.0,614.0,,1.0
11:28:10.500,,85.0,
11:28:11.0,581.0,,3.0
11:28:11.500,505.5,166.0,
11:28:12.0,546.0,115.0,1.0
11:28:12.500,,151.0,
11:28:13.0,750.0,161.0,6.0
11:28:13.500,595.75,169.33333333333334,
11:28:14.0,,138.0,2.0
11:28:14.500,691.0,,
11:28:15.0,669.0,360.5,6.0
11:28:15.500,508.6666666666667,158.66666666666666,
11:28:16.0,743.0,241.5,3.0
11:28:16.500,,231.0,
11:28:17.0,600.0,495.0,2.0
11:28:18.0,512.5,194.5,3.0
11:28:18.500,1143.0,,
11:28:19.0,986.0,546.0,3.0
11:28:19.500,1375.0,225.5,
11:28:20.0,834.3333333333334,475.0,4.0
11:28:20.500,964.0,336.5,
11:28:21.0,717.0,620.0,3.0
11:28:21.500,916.5,319.5,
11:28:22.0,503.0,310.0,2.0
11:28:22.500,1228.0,,
11:28:23.0,1188.0,157.0,5.0
11:28:23.500,1271.25,459.0,
11:28:24.0,1289.75,,6.0
11:28:24.500,1150.0,445.5,
11:28:25.0,1074.0,686.6666666666666,3.0
11:28:25.500,1627.0,599.5,
11:28:26.0,1376.5,411.0,6.0
11:28:26.500,1118.0,212.0,
11:28:27.0,,799.5,
11:28:27.500,,276.0,
11:28:28.0,1604.0,1108.0,2.0
11:28:28.500,1305.0,1093.5,
11:28:29.0,1531.3333333333333,,4.0
11:28:29.500,1110.0,,
11:28:30.0,1270.0,1129.0,1.0
11:28:30.500,,1193.0,
11:28:31.0,1282.0,796.2,3.0
11:28:31.500,1953.5,,
11:28:32.0,1442.6666666666667,,7.0
11:28:32.500,1376.0,713.5,
11:28:33.0,,,3.0
11:28:33.500,1083.6666666666667,952.0,
11:28:34.0,1098.0,1049.3333333333333,3.0
11:28:34.500,1504.0,1027.3333333333333,
11:28:35.0,2275.0,1782.0,2.0
11:28:35.500,2216.0,,
11:28:36.0,2412.0,1226.6666666666667,2.0
11:28:36.500,905.0,761.0,
11:28:37.0,2161.0,1212.5,3.0
11:28:37.500,1069.0,502.0,
11:28:38.0,1766.0,1551.0,1.0
11:28:38.500,,1298.0,
11:28:39.0,2098.0,1003.0,2.0
11:28:39.500,,1105.0,
11:28:40.0,2335.0,,1.0
11:28:40.500,,1644.0,
11:28:41.0,,1391.0,3.0
11:28:41.500,2146.6666666666665,470.0,
11:28:42.0,1381.0,,2.0
11:28:42.500,,427.0,
11:28:43.0,1423.5,,5.0
11:28:43.500,2045.0,1073.5,
11:28:44.0,1734.0,969.6666666666666,6.0
11:28:44.500,1994.0,1087.5,
11:28:45.0,,,2.0
11:28:45.500,1951.0,1076.0,
11:28:46.0,1563.0,1625.0,4.0
11:28:46.500,1910.3333333333333,1430.75,
11:28:47.0,1270.0,1312.0,4.0
11:28:47.500,2127.0,992.5,
11:28:48.0,1910.0,861.0,2.0
11:28:48.500,,1199.0,
11:28:49.0,,1152.0,
11:28:50.0,,1340.0,
11:28:50.500,,947.5,
11:28:51.0,2551.0,1086.0,3.0
11:28:51.500,1283.0,,
11:28:52.0,1049.0,,1.0
11:28:53.0,1322.75,1195.0,7.0
11:28:53.500,1681.0,586.5,
11:28:54.0,1971.5,1243.0,3.0
11:28:54.500,1944.0,,
11:28:55.0,1988.3333333333333,886.5,5.0
11:28:55.500,2034.5,1153.0,
11:28:56.0,2199.0,1113.75,3.0
11:28:56.500,1418.5,991.0,
11:28:57.0,1711.3333333333333,854.5,6.0
11:28:57.500,,1034.0,
11:28:58.0,2065.0,641.0,1.0
11:28:58.500,,898.5,
11:28:59.0,,1157.0,1.0
11:28:59.500,1713.0,1305.0,
11:29:00.0,1577.0,,3.0
11:29:00.500,1195.5,1239.0,
11:29:02.0,,1040.0,3.0
11:29:02.500,2149.0,1350.5,
11:29:03.0,1990.5,1276.0,6.0
11:29:03.500,1347.0,,
11:29:04.0,1496.0,472.0,5.0
11:29:04.500,1832.25,654.0,
11:29:05.0,1726.0,1310.6666666666667,2.0
11:29:05.500,1733.0,1085.0,
11:29:06.0,2047.0,,3.0
11:29:06.500,1606.0,1358.0,
11:29:07.0,1856.0,1232.6666666666667,3.0
11:29:07.500,1918.0,1079.0,
11:29:08.0,2324.5,953.0,2.0
11:29:08.500,,842.0,
11:29:09.0,2011.0,,3.0
11:29:09.500,1694.0,1212.0,
11:29:10.0,1219.0,1556.0,1.0
11:29:10.500,,897.5,
11:29:11.0,,728.0,2.0
11:29:11.500,2003.5,851.0,
11:29:12.0,,,3.0
11:29:12.500,1443.0,859.0,
11:29:13.0,1419.5,,3.0
11:29:13.500,1504.0,587.0,
11:29:14.0,1571.5,616.0,5.0
11:29:14.500,1671.0,738.0,
11:29:15.0,,786.5,
11:29:15.500,,798.0,
11:29:16.0,1262.0,760.0,4.0
11:29:16.500,1736.5,,
11:29:17.0,1503.3333333333333,,4.0
11:29:17.500,1175.0,844.0,
11:29:18.0,,671.25,
11:29:18.500,,795.5,
11:29:19.0,,1457.0,1.0
11:29:19.500,1762.0,,
11:29:20.0,1250.0,,5.0
11:29:20.500,1755.6666666666667,461.5,
11:29:21.0,1737.0,,1.0
11:29:21.500,,730.0,
11:29:22.0,2783.0,502.6666666666667,3.0
11:29:22.500,2289.5,861.0,
11:29:23.0,1340.25,,4.0
11:29:23.500,,533.0,
11:29:24.0,1691.0,808.6666666666666,3.0
11:29:24.500,1797.0,732.0,
11:29:25.0,,724.0,1.0
11:29:25.500,1565.0,450.0,
11:29:26.0,1173.3333333333333,,5.0
11:29:26.500,1120.5,949.0,
11:29:27.0,,356.0,
11:29:27.500,,433.0,
11:29:28.0,,426.0,3.0
11:29:28.500,1780.6666666666667,958.0,
11:29:29.0,1260.0,,4.0
11:29:29.500,1331.6666666666667,836.0,
11:29:30.500,,1340.5,
11:29:31.0,1576.0,463.6666666666667,4.0
11:29:31.500,1669.5,,
11:29:32.0,1447.0,777.0,2.0
11:29:32.500,1772.0,689.0,
11:29:33.0,1021.0,797.5,3.0
11:29:33.500,1367.5,446.0,
11:29:34.0,842.0,,2.0
11:29:34.500,1796.0,796.0,
11:29:35.0,1287.0,932.0,1.0
11:29:35.500,,1028.0,
11:29:36.0,1371.0,1407.0,3.0
11:29:36.500,1577.5,538.0,
11:29:37.0,1378.6666666666667,780.0,3.0
11:29:38.0,,,2.0
11:29:38.500,1632.5,1256.0,
