Number of active threads,Average 로그인,Average 메뉴레프트,Average 메뉴이동,Average 메뉴인덱스,Average 메뉴헤더,Average 메인페이지,Average 상세조회,Average 초기화면,Average 컨텐츠,로그인,메뉴레프트,메뉴이동,메뉴인덱스,메뉴헤더,메인페이지,상세조회,초기화면,컨텐츠
1,,,,,,,,,,484.25,126.57142857142857,102.28571428571429,92.75,14357.375,93.625,99.85714285714286,101.875,99.14285714285714
2,,,,,,,,,,,93.0,142.0,,192.0,,,86.0,125.0
3,,,,,,,,,,581.0,,,57653.0,,57641.0,131.0,101.0,
4,,,,,,,,,,505.5,73.0,87.0,115.0,108.0,162.5,,117.0,177.0
5,,,,,,,,,,546.0,161.5,38581.666666666664,151.0,38418.333333333336,105.0,75.0,173.0,102.0
6,,,,,,,,,,750.0,72.0,,,270.0,,38306.0,121.33333333333333,95.0
7,,,,,,,,,,619.6666666666666,,211.0,202.5,141.0,191.0,179.0,138.5,
8,,,,,,,,,,524.0,141.5,191.0,38218.333333333336,159.5,158.25,,147.0,38203.666666666664
9,,,,,,,,,,691.0,313.6666666666667,220.33333333333334,,57917.5,269.5,234.5,229.5,166.0
10,,,,,,,,,,,443.0,375.0,360.5,194.0,,32909.75,289.0,121.0
11,,,,,,,,,,749.0,286.94444444444446,290.8125,305.05555555555554,288.44444444444446,409.0,391.46666666666664,314.8333333333333,7580.611111111111
12,,,,,,,,,,840.5,334.5,374.5,655.0,381.0,299.0,63930.5,155.0,253.0
13,,,,,,,,,,916.5,190.0,245.0,444.0,213.0,584.0,426.0,235.0,43947.666666666664
14,,,,,,,,,,503.0,279.0,43922.333333333336,303.5,342.0,232.0,439.5,441.0,197.0
15,,,,,,,,,,66453.5,425.0,435.0,349.0,426.6666666666667,,244.0,530.25,150.0
16,,,,,,,,,,1188.0,580.5,456.0,,,821.0,725.5,67506.0,414.0
17,,,,,,,,,,1243.0,,472.0,374.0,44482.666666666664,465.0,287.0,473.5,285.0
18,,,,,,,,,,1568.3333333333333,331.0,589.5,66299.5,,329.0,260.3333333333333,835.0,
19,,,,,,,,,,27334.4,542.5,173.0,422.0,486.0,497.0,,527.0,399.0
20,,,,,,,,,,45315.333333333336,,467.0,453.3333333333333,220.0,558.5,734.0,630.6666666666666,
21,,,,,,,,,,1323.2666666666667,7355.1,638.0666666666667,758.4117647058823,640.0555555555555,776.6666666666666,855.8,793.3333333333334,638.2941176470588
22,,,,,,,,,,,,135471.0,923.3333333333334,974.0,,,1017.5,909.5
23,,,,,,,,,,46634.0,579.0,726.25,605.5,537.5,,790.0,703.5,1023.0
24,,,,,,,,,,1402.0,332.0,68557.5,,897.0,324.0,693.5,327.0,412.0
25,,,,,,,,,,1577.5,637.0,,856.0,911.0,817.0,530.0,34851.5,779.0
26,,,,,,,,,,1085.0,28161.6,1082.0,571.0,,,,798.3333333333334,577.0
27,,,,,,,,,,1044.0,137125.0,961.0,952.0,750.0,1005.1666666666666,,1026.0,677.0
28,,,,,,,,,,1101.6666666666667,,569.5,,772.0,1012.0,695.0,69492.0,1089.3333333333333
29,,,,,,,,,,1504.0,805.5,,998.4,,872.5,1030.5,65703.0,
30,,,,,,,,,,,,,1238.0,,,301.0,,
31,,,,,,,,,,1954.1818181818182,1101.5714285714287,1150.3333333333333,1172.0,1196.1,1178.0,1073.4166666666667,1077.0,1028.5714285714287
32,,,,,,,,,,,1049.8,466.0,1160.6666666666667,118.0,1042.0,669.3333333333334,841.25,659.25
33,,,,,,,,,,2513.0,706.0,341.0,985.5,338.0,,1537.0,699.5,445.5
34,,,,,,,,,,2063.0,472.0,645.0,,775.5,375.0,,777.92,874.0
35,,,,,,,,,,1381.0,723.0,616.0,,1251.0,715.5,858.0,687.0,743.6666666666666
36,,,,,,,,,,1208.5,312.25,471.5,277.6666666666667,256.5,440.2,455.3333333333333,1012.0,319.2
37,,,,,,,,2623.170658682634,,1122.3333333333333,282.0,1098.3333333333333,528.6,444.0,682.4,702.25,503.25,
38,3064.4923547400617,2072.274509803921,,1931.321656050955,2282.909967845659,1177.1761006289307,,,1989.189368770764,1559.0,,569.0,761.0,620.0,790.5,658.75,952.25,724.3333333333334
39,,,2492.833333333333,,,,2054.795847750865,,,1541.0,939.0,489.0,1071.25,,989.0,1107.0,978.5,
40,,,,,,,,,,2103.0,733.0,889.0,799.0,1231.0,924.75,,,
41,,,,,,,,,,1840.357142857143,1083.9444444444443,1047.0833333333333,1195.7058823529412,1259.3684210526317,1212.235294117647,1146.8,1099.75,991.2352941176475
42,,,,,,,,,,1455.0,660.8,863.0,874.5,339.0,,652.75,979.0,445.0
43,,,,,,,,,,2551.0,,1059.0,1086.0,1077.2,,1044.0,1059.75,1106.5
44,,,,,,,,,,1365.3333333333333,526.25,672.5,692.0,648.0,728.0,627.0,651.0,799.0
45,,,,,,,,,,1390.0,581.3333333333334,453.0,656.0,,372.0,521.75,971.6666666666666,572.0
46,,,,,,,,,,1246.25,697.6666666666666,940.0,1195.0,970.0,1099.0,459.3333333333333,937.3333333333334,921.2
47,,,,,,,,,,1642.8,,827.0,538.0,,901.0,,897.75,549.0
48,,,,,,,,,,1920.0,,1127.0,770.5,980.0,1209.0,1022.0,1315.0,
49,,,,,,,,,,1608.25,749.5,711.0,901.5,1184.0,1087.1666666666667,1020.625,904.6,972.5
50,,,,,,,,,,1606.05625,843.335403726708,833.6129032258065,865.9506172839502,817.9312500000001,904.937888198758,855.0198675496687,1397.547770700637,861.891719745223
