Elapsed time,로그인 (success),메뉴레프트 (success),메뉴이동 (success),메뉴인덱스 (success),메뉴헤더 (success),메인페이지 (success),상세조회 (success),초기화면 (success),컨텐츠 (success)
11:28:00.0,,,,,,,,1.0,
11:28:01.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
11:28:02.0,1.0,,,1.0,1.0,1.0,,1.0,
11:28:03.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11:28:04.0,,1.0,1.0,,,,1.0,1.0,1.0
11:28:05.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11:28:06.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11:28:07.0,1.0,1.0,,1.0,1.0,1.0,,,
11:28:08.0,1.0,,1.0,,,,1.0,1.0,1.0
11:28:09.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11:28:10.0,1.0,1.0,,1.0,1.0,1.0,,1.0,
11:28:11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
11:28:12.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
11:28:13.0,6.0,3.0,1.0,4.0,2.0,5.0,1.0,5.0,2.0
11:28:14.0,2.0,3.0,5.0,1.0,4.0,3.0,2.0,3.0,4.0
11:28:15.0,6.0,3.0,1.0,5.0,4.0,4.0,4.0,6.0,3.0
11:28:16.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0
11:28:17.0,2.0,3.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0
11:28:18.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0
11:28:19.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,4.0,1.0
11:28:20.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0
11:28:21.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
11:28:22.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0
11:28:23.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0
11:28:24.0,6.0,2.0,2.0,4.0,1.0,6.0,2.0,6.0,2.0
11:28:25.0,3.0,2.0,1.0,5.0,6.0,4.0,1.0,3.0,2.0
11:28:26.0,6.0,7.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0
11:28:27.0,,4.0,2.0,3.0,3.0,5.0,4.0,1.0,7.0
11:28:28.0,2.0,1.0,7.0,4.0,2.0,,1.0,4.0,2.0
11:28:29.0,4.0,2.0,1.0,,3.0,2.0,5.0,1.0,1.0
11:28:30.0,1.0,3.0,1.0,2.0,,5.0,2.0,6.0,2.0
11:28:31.0,3.0,2.0,4.0,5.0,6.0,1.0,1.0,3.0,3.0
11:28:32.0,7.0,5.0,1.0,2.0,1.0,2.0,5.0,3.0,2.0
11:28:33.0,3.0,,3.0,1.0,2.0,7.0,,5.0,4.0
11:28:34.0,3.0,2.0,1.0,6.0,1.0,2.0,3.0,2.0,1.0
11:28:35.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
11:28:36.0,2.0,1.0,2.0,4.0,7.0,3.0,1.0,3.0,2.0
11:28:37.0,3.0,5.0,1.0,3.0,4.0,4.0,3.0,2.0,2.0
11:28:38.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,,4.0
11:28:39.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0
11:28:40.0,1.0,3.0,3.0,1.0,2.0,,4.0,3.0,
11:28:41.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,6.0,6.0
11:28:42.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0
11:28:43.0,5.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0
11:28:44.0,6.0,2.0,1.0,5.0,1.0,5.0,2.0,6.0,1.0
11:28:45.0,2.0,,,1.0,4.0,3.0,1.0,4.0,1.0
11:28:46.0,4.0,3.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0
11:28:47.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,,4.0
11:28:48.0,2.0,2.0,2.0,4.0,2.0,2.0,,1.0,2.0
11:28:49.0,,3.0,4.0,1.0,5.0,3.0,3.0,,2.0
11:28:50.0,,5.0,3.0,4.0,2.0,1.0,3.0,3.0,5.0
11:28:51.0,3.0,4.0,4.0,1.0,5.0,1.0,4.0,5.0,3.0
11:28:52.0,1.0,3.0,2.0,,,1.0,5.0,6.0,4.0
11:28:53.0,7.0,,4.0,3.0,,2.0,,6.0,2.0
11:28:54.0,3.0,1.0,2.0,1.0,3.0,6.0,5.0,1.0,
11:28:55.0,5.0,2.0,,5.0,1.0,4.0,,7.0,1.0
11:28:56.0,3.0,2.0,1.0,5.0,6.0,5.0,,1.0,2.0
11:28:57.0,6.0,6.0,2.0,6.0,7.0,4.0,2.0,1.0,4.0
11:28:58.0,1.0,5.0,4.0,3.0,3.0,5.0,2.0,1.0,4.0
11:28:59.0,1.0,4.0,3.0,5.0,3.0,1.0,3.0,2.0,7.0
11:29:00.0,3.0,5.0,8.0,1.0,4.0,,4.0,4.0,2.0
11:29:01.0,,1.0,2.0,,1.0,3.0,4.0,3.0,2.0
11:29:02.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0,6.0,5.0
11:29:03.0,6.0,1.0,6.0,1.0,3.0,4.0,5.0,2.0,2.0
11:29:04.0,5.0,2.0,,3.0,1.0,5.0,3.0,3.0,1.0
11:29:05.0,2.0,2.0,2.0,6.0,4.0,3.0,1.0,5.0,2.0
11:29:06.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
11:29:07.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0
11:29:08.0,2.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,2.0
11:29:09.0,3.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0
11:29:10.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0
