Number of active threads,Average 로그인,Average 메뉴레프트,Average 메뉴이동,Average 메뉴인덱스,Average 메뉴헤더,Average 메인페이지,Average 상세조회,Average 초기화면,Average 컨텐츠,로그인,메뉴레프트,메뉴이동,메뉴인덱스,메뉴헤더,메인페이지,상세조회,초기화면,컨텐츠
1,,,,,,,,,,2.173064910397924,9.835564590238207,10.61465127079824,11.951943244244337,12.121303913122668,11.53119682953612,10.921912901558288,10.703827776510508,12.188189443901809
2,,,,,,,,,,,21.50537634408602,14.084507042253522,,10.416666666666666,,,23.25581395348837,16.0
3,,,,,,,,,,5.163511187607573,,,9.049172196864582,,10.576407900241469,22.900763358778626,31.48051948051948,
4,,,,,,,,,,7.920404246151436,54.794520547945204,45.97701149425287,37.70182771903942,37.03703703703704,24.64361540794662,,34.18803418803419,22.598870056497177
5,,,,,,,,,,9.157509157509157,30.967172879275964,22.872294451860487,33.11258278145695,38.120919400256184,47.61904761904762,66.66666666666667,28.90173410404624,49.02431990771893
6,,,,,,,,,,8.076515109364989,83.33333333333333,,,22.22222222222222,,17.873921667633052,52.86650286650288,63.1578947368421
7,,,,,,,,,,11.356377499473089,,33.175355450236964,36.08339272986458,49.645390070921984,38.70314083080041,39.10614525139665,52.776265650517146,
8,,,,,,,,,,15.267175572519085,69.18469624740251,41.8848167539267,38.95482649212425,51.60978532815704,54.919664675762235,,54.42176870748299,44.504220951282456
9,,,,,,,,,,13.624533361375466,28.801210146710996,47.31477710759882,,12.16835324035608,33.39805023132848,42.43575823380384,45.365692949703494,53.5104768164249
10,,,,,,,,,,,22.573363431151243,26.666666666666668,28.149108286222944,51.54639175257732,,25.37819583186272,37.14055369684509,82.64462809917356
11,,,,,,,,,,16.35185109499521,49.86718257403977,48.26946141516821,46.517733553762206,53.958926795447105,35.2608784372944,32.74025941432473,51.51488976119605,36.71492228728713
12,,,,,,,,,,14.592267226861576,46.261294486446616,35.881958417169685,18.3206106870229,31.496062992125985,50.41025064628526,15.275497402552563,77.6261424815325,47.430830039525695
13,,,,,,,,,,14.656567992599445,68.42105263157895,72.9818290140006,32.563256325632565,72.92023279698734,22.26027397260274,31.033729146936693,55.319148936170215,26.00675987808019
14,,,,,,,,,,27.83300198807157,50.17921146953405,29.256910200806743,46.66359163591636,40.93567251461988,64.36781609195403,32.389665627895226,32.26632522407171,72.4264705882353
15,,,,,,,,,,6.164448546810347,59.17846368066837,34.48275862068966,42.97994269340974,43.24571501129759,,61.47540983606557,33.09638260007163,100.0
16,,,,,,,,,,13.468013468013469,27.564102564102562,35.08771929824562,,,19.98962170980048,25.0659687582326,9.629001171923587,38.64734299516908
17,,,,,,,,,,13.721357291650433,,36.016949152542374,68.52253009581084,64.80975228038132,36.55913978494624,59.23344947735192,49.78423591734569,61.24461186464245
18,,,,,,,,,,12.106843873456514,54.38066465256797,31.22223072260441,27.590977391041868,,54.7112462006079,72.67365611177347,21.55688622754491,
19,,,,,,,,,,14.75155873122289,36.65592682683965,109.82658959537572,45.023696682464454,39.09465020576132,52.02292055743171,,36.18655246562223,50.7429718875502
20,,,,,,,,,,12.13269557073884,,42.82655246252676,48.953393865033114,90.9090909090909,44.04574132492114,27.247956403269754,31.984882078823432,
21,,,,,,,,,,17.543451106084685,46.670180486611294,43.803533077498294,37.773085544825435,42.88134412596294,35.55823512114813,33.930431022608644,31.10716898429449,41.748948062960544
22,,,,,,,,,,,,0.1623963800370559,26.12030363154979,22.587268993839835,,,29.445965961857706,24.621310002830178
23,,,,,,,,,,9.62231850421885,39.72366148531952,37.187212585296756,38.56901517669215,46.21224506930475,,29.11392405063291,34.97034744495258,22.482893450635387
24,,,,,,,,,,17.659441206652843,72.28915662650603,19.82474968509423,,26.755852842809364,74.07407407407408,35.00207816650871,73.39449541284404,58.25242718446602
25,,,,,,,,,,16.887440539448857,39.24646781789639,,29.205607476635514,27.442371020856204,31.06515850455293,47.16981132075472,23.980853174979483,32.09242618741977
26,,,,,,,,,,23.963133640552996,22.47920081435714,24.029574861367838,45.53415061295972,,,,32.569364513295305,45.060658578856156
27,,,,,,,,,,25.862068965517242,0.19690063810391978,28.09573361082206,28.361344537815125,36.0,29.411625334281847,,29.917705250880186,39.881831610044316
28,,,,,,,,,,26.153347958269553,,50.84529586949729,,37.897276220931865,27.66798418972332,40.28776978417266,11.30164520016844,25.821360781212974
29,,,,,,,,,,20.037193028879727,36.37486218988832,,30.834974069638115,,33.48858324200986,29.58351729504026,17.793964765953696,
30,,,,,,,,,,,,,24.232633279483036,,,99.66777408637874,,
31,,,,,,,,,,17.701531208706445,31.600958814768656,36.4045985236184,31.330098731094612,30.475525248888168,31.717480271458992,34.49859739316302,34.37972253766548,36.50545725659189
